Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;XAV;7
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PODEMOS-IU-AV;4
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;Cs;3
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PCAS-TC-RC;1
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;FE de las JONS;1
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PACMA;0
05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;190;63;108;126;3;1;PYC (ANULADA);0
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PP;38
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;VOX;23
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;P.S.O.E.;18
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;XAV;12
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;Cs;1
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PODEMOS-IU-AV;1
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PACMA;0
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PYC (ANULADA);0
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;FE de las JONS;0
05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;135;59;80;95;1;1;PCAS-TC-RC;0
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PP;31
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;VOX;20
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;XAV;20
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;P.S.O.E.;20
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;Cs;3
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PACMA;1
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PCAS-TC-RC;0
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PYC (ANULADA);0
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;FE de las JONS;0
05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;117;41;84;95;0;0;PODEMOS-IU-AV;0
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;P.S.O.E.;249
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PP;202
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PODEMOS-IU-AV;44
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;VOX;41
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;XAV;35
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;Cs;4
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PACMA;2
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PCAS-TC-RC;0
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;PYC (ANULADA);0
05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;829;360;496;587;8;2;FE de las JONS;0
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PP;186
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;P.S.O.E.;120
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;VOX;59
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;XAV;18
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PODEMOS-IU-AV;17
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;Cs;5
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PACMA;3
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PCAS-TC-RC;1
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;FE de las JONS;1
05-014-1-001-A;AVILA;14;ARENAS DE SAN PEDRO;1;1;A;742;243;344;414;3;1;PYC (ANULADA);0
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PP;155
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;P.S.O.E.;133
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;VOX;73
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PODEMOS-IU-AV;36
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;XAV;11
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;Cs;7
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PCAS-TC-RC;1
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;FE de las JONS;1
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PACMA;0
05-014-1-001-B;AVILA;14;ARENAS DE SAN PEDRO;1;1;B;743;245;353;428;7;4;PYC (ANULADA);0
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;P.S.O.E.;126
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PP;105
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;VOX;30
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PODEMOS-IU-AV;27
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;XAV;13
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;Cs;7
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PACMA;3
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PCAS-TC-RC;0
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;FE de las JONS;0
05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PYC (ANULADA);0
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PP;217
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;P.S.O.E.;189
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;VOX;78
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PODEMOS-IU-AV;58
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;XAV;23
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;Cs;13
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PACMA;5
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PYC (ANULADA);0
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PCAS-TC-RC;0
05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;FE de las JONS;0
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;P.S.O.E.;121
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PP;112
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PODEMOS-IU-AV;24
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;VOX;16
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;XAV;15
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;Cs;2
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PACMA;2
05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;FE de las JONS;2
